fffffffffffffokayiKey.spaceamKey.spaceokadvaneKey.backspacecedKey.spacekeyloggerKey.enterKey.spacedevtoKey.enterpythonKey.spaceKey.ctrlKey.rightKey.shiftKey.rightKey.rightKey.rightKey.rightKey.rightKey.rightadvaKey.downKey.spacekeKey.upKey.downKey.downKey.enterKey.cmdcKey.shiftInitialKey.spacecommitKey.shiftddddokKey.cmdaKey.ctrl2021-12-06 23:24:39,485: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2021-12-06 23:24:41,602: 's'
2021-12-06 23:24:41,995: 's'
2021-12-06 23:24:42,239: 's'
2021-12-06 23:24:52,180: Key.backspace
2021-12-06 23:24:52,621: Key.backspace
2021-12-06 23:24:53,737: "'"
2021-12-06 23:24:54,668: Key.cmd
2021-12-06 23:24:54,864: 's'
2021-12-06 23:24:55,721: Key.alt
2021-12-06 23:24:56,226: Key.ctrl
2021-12-06 23:24:56,410: '\x03'
2021-12-06 23:25:01,722: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2021-12-06 23:25:08,607: Key.ctrl
2021-12-06 23:25:08,922: '\x03'
2021-12-06 23:25:24,715: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2021-12-06 23:25:28,648: 'd'
2021-12-06 23:25:28,927: 'd'
2021-12-06 23:25:31,072: 'g'
2021-12-06 23:25:31,230: 'i'
2021-12-06 23:25:31,375: 't'
2021-12-06 23:25:31,604: 'h'
2021-12-06 23:25:31,749: 'u'
2021-12-06 23:25:31,923: 'b'
2021-12-06 23:25:32,088: Key.enter
2021-12-06 23:25:42,994: Key.ctrl
2021-12-06 23:25:43,386: '\x03'
2021-12-07 00:11:08,503: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2021-12-07 00:11:17,082: Key.enter
2021-12-07 00:11:17,810: Key.left
2021-12-07 00:11:18,182: Key.left
2021-12-07 00:11:18,493: Key.left
2021-12-07 00:11:18,734: Key.left
2021-12-07 00:11:19,064: Key.cmd
2021-12-07 00:11:19,157: 'v'
2021-12-07 00:11:20,535: 'f'
2021-12-07 00:11:20,641: 'i'
2021-12-07 00:11:20,770: 'l'
2021-12-07 00:11:20,875: 'e'
2021-12-07 00:11:21,081: Key.shift
2021-12-07 00:11:21,153: '_'
2021-12-07 00:11:21,375: Key.enter
2021-12-07 00:11:21,542: Key.cmd
2021-12-07 00:11:21,671: 's'
2021-12-07 00:11:22,228: Key.ctrl
2021-12-07 00:11:24,797: Key.cmd
2021-12-07 00:11:24,900: 'x'
2021-12-07 00:11:25,792: Key.enter
2021-12-07 00:11:25,928: Key.cmd
2021-12-07 00:11:26,064: 'v'
2021-12-07 00:11:27,152: Key.backspace
2021-12-07 00:11:27,374: Key.backspace
2021-12-07 00:11:27,943: Key.cmd
2021-12-07 00:11:28,079: 's'
2021-12-07 00:11:28,811: Key.ctrl
2021-12-07 00:11:29,079: '\x03'
2021-12-07 00:11:31,678: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2021-12-07 00:11:35,156: 's'
2021-12-07 00:11:35,325: 's'
2021-12-07 00:11:35,484: 's'
2021-12-07 00:11:35,632: 's'
2021-12-07 00:11:35,807: 's'
2021-12-07 00:11:36,298: 'a'
2021-12-07 00:11:36,824: 'a'
2021-12-07 00:11:37,501: 'a'
2021-12-07 00:11:38,154: 'a'
2021-12-07 00:11:38,812: 's'
2021-12-07 00:11:39,429: 's'
2021-12-07 00:11:39,882: 'x'
2021-12-07 00:11:40,329: 'w'
2021-12-07 00:11:40,660: 'w'
2021-12-07 00:11:41,027: 's'
2021-12-07 00:11:41,417: 'w'
2021-12-07 00:11:41,719: 's'
2021-12-07 00:11:42,283: 's'
2021-12-07 00:11:42,576: 'w'
2021-12-07 00:11:42,815: 's'
2021-12-07 00:11:50,805: 'd'
2021-12-07 00:11:51,183: 'd'
2021-12-07 00:11:51,705: 'd'
2021-12-07 00:11:51,949: 'd'
2021-12-07 00:11:52,533: 'e'
2021-12-07 00:11:52,774: 'e'
2021-12-07 00:11:53,067: 'd'
2021-12-07 00:11:53,336: 'd'
2021-12-07 00:11:53,774: 'c'
2021-12-07 00:11:54,007: 'm'
2021-12-07 00:11:54,645: 'e'
2021-12-07 00:15:09,465: Key.cmd
2021-12-07 00:15:09,719: 'z'
2021-12-07 00:15:13,281: Key.cmd
2021-12-07 00:15:13,489: 's'
2021-12-07 00:15:15,956: Key.cmd
2021-12-07 00:15:16,084: 'x'
2021-12-07 00:15:16,428: 's'
2021-12-07 00:15:44,688: Key.cmd
2021-12-07 00:15:44,864: 'f'
2021-12-07 00:15:50,020: Key.cmd
2021-12-07 00:15:50,279: 'c'
2021-12-07 00:16:03,581: Key.enter
2021-12-07 00:16:03,793: Key.enter
2021-12-07 00:16:04,020: Key.cmd
2021-12-07 00:16:04,424: 'v'
2021-12-07 00:16:06,200: Key.backspace
2021-12-07 00:16:06,428: Key.backspace
2021-12-07 00:16:07,249: Key.down
2021-12-07 00:16:07,523: Key.right
2021-12-07 00:16:08,058: Key.right
2021-12-07 00:16:08,382: Key.backspace
2021-12-07 00:16:08,857: Key.down
2021-12-07 00:16:09,184: Key.right
2021-12-07 00:16:09,395: Key.right
2021-12-07 00:16:09,656: Key.backspace
2021-12-07 00:16:10,028: Key.down
2021-12-07 00:16:10,321: Key.right
2021-12-07 00:16:10,507: Key.right
2021-12-07 00:16:10,770: Key.backspace
2021-12-07 00:16:11,013: Key.down
2021-12-07 00:16:11,306: Key.right
2021-12-07 00:16:11,778: Key.right
2021-12-07 00:16:11,960: Key.backspace
2021-12-07 00:16:12,311: Key.down
2021-12-07 00:16:12,630: Key.right
2021-12-07 00:16:12,915: Key.right
2021-12-07 00:16:13,101: Key.backspace
2021-12-07 00:16:13,285: Key.down
2021-12-07 00:16:13,617: Key.right
2021-12-07 00:16:13,832: Key.right
2021-12-07 00:16:13,989: Key.right
2021-12-07 00:16:14,163: Key.right
2021-12-07 00:16:14,353: Key.right
2021-12-07 00:16:14,566: Key.right
2021-12-07 00:16:14,817: Key.backspace
2021-12-07 00:16:15,039: Key.backspace
2021-12-07 00:16:15,601: Key.cmd
2021-12-07 00:16:15,880: 's'
2021-12-07 00:16:20,252: Key.enter
2021-12-07 00:16:20,894: Key.tab
2021-12-07 00:16:21,318: Key.shift
2021-12-07 00:16:21,502: '#'
2021-12-07 00:16:22,623: Key.space
2021-12-07 00:16:22,881: 'c'
2021-12-07 00:16:22,937: 'a'
2021-12-07 00:16:23,073: 'p'
2021-12-07 00:16:23,373: 't'
2021-12-07 00:16:23,527: 'u'
2021-12-07 00:16:23,643: 'r'
2021-12-07 00:16:23,731: 'e'
2021-12-07 00:16:23,893: Key.space
2021-12-07 00:16:24,099: 'b'
2021-12-07 00:16:24,250: 'r'
2021-12-07 00:16:24,411: 'o'
2021-12-07 00:16:24,494: 'w'
2021-12-07 00:16:24,708: 's'
2021-12-07 00:16:24,860: 'e'
2021-12-07 00:16:25,096: 'r'
2021-12-07 00:16:25,541: Key.space
2021-12-07 00:16:25,735: 'h'
2021-12-07 00:16:25,894: 's'
2021-12-07 00:16:26,311: Key.backspace
2021-12-07 00:16:26,460: 'i'
2021-12-07 00:16:26,556: 's'
2021-12-07 00:16:26,748: 'o'
2021-12-07 00:16:27,024: Key.backspace
2021-12-07 00:16:27,124: 't'
2021-12-07 00:16:27,273: 'o'
2021-12-07 00:16:27,368: 'r'
2021-12-07 00:16:27,548: 'y'
2021-12-07 00:16:27,792: Key.cmd
2021-12-07 00:16:27,920: 's'
2021-12-07 00:16:29,066: Key.ctrl
2021-12-07 00:16:29,310: '\x03'
2021-12-07 00:16:32,477: This process is not trusted! Input event monitoring will not be possible until it is added to accessibility clients.
2021-12-07 00:16:37,943: Key.cmd
2021-12-07 00:16:38,189: 'c'
2021-12-07 00:16:40,548: Key.cmd
2021-12-07 00:16:40,653: 'v'
2021-12-07 00:16:40,922: Key.enter
2021-12-07 00:16:58,346: 's'
2021-12-07 00:17:16,221: Key.cmd
2021-12-07 00:17:16,451: 'a'
2021-12-07 00:17:17,102: Key.backspace
2021-12-07 00:17:19,324: Key.cmd
2021-12-07 00:17:19,458: 's'
2021-12-07 00:17:20,218: Key.ctrl
2021-12-07 00:17:20,669: '\x03'
